That would probably do something, but nothing you need to do now.	That would probably do something, but nothing you need to do now.
Debug	Debug
< Pick a Puzzle >	< Pick a Puzzle >
< Restore >	< Restore >
Ready for Business	Ready for Business
Prescription #1	Prescription #1
Prescription #2	Prescription #2
Prescription #3	Prescription #3
Corrected Prescription	Corrected Prescription
Preparation G	Preparation G
Sheriff Shutdown	Sheriff Shutdown
Gas Mask	Gas Mask
Flatulent Horses	Flatulent Horses
Snail Stampede	Snail Stampede
Lemmings	Lemmings
Hire a Sidekick	Hire a Sidekick
Contaminated Water	Contaminated Water
Burning of Coarsegold	Burning of Coarsegold
Madame Ovaree	Madame Ovaree
Arm Yourself	Arm Yourself
Target Practice	Target Practice
Quickdraw Practice	Quickdraw Practice
Dress Up	Dress Up
Card Shark	Card Shark
Rowdy Cowhands	Rowdy Cowhands
Lever Brothers	Lever Brothers
Kenny's Quickdraw	Kenny's Quickdraw
Schoolhouse Showdown	Schoolhouse Showdown
Trapped in Basement	Trapped in Basement
Sword Fight	Sword Fight
Killing Kenny	Killing Kenny
< Act 1 >	< Act 1 >
< Act 2 >	< Act 2 >
< Act 3 >	< Act 3 >
< Act 4 >	< Act 4 >
< Epilogue >	< Epilogue >
Pick a Puzzle	Pick a Puzzle
Where to, Pardner?	Where to, Pardner?
Pick a Puzzle	Pick a Puzzle
FREDDY PHARKAS, FRONTIER PHARMACIST is brought to you in living VGA by the hombres out at Sierra On-Line, Inc. and Screw Loose Amusements.	FREDDY PHARKAS, FRONTIER PHARMACIST is brought to you in living VGA by the hombres out at Sierra On-Line, Inc. and Screw Loose Amusements.
Designed and written by Al Lowe and Josh Mandel	Designed and written by Al Lowe and Josh Mandel
Produced and Directed by Josh Mandel	Produced and Directed by Josh Mandel
Authentic Western Art by Bob Gleason, Ruben Huante, Phy "No Relation" Williams, and Karin Young	Authentic Western Art by Bob Gleason, Ruben Huante, Phy "No Relation" Williams, and Karin Young
Authentic Western Programming by Steve Conrad, William R. Shockley, and Cynthia L. Swafford	Authentic Western Programming by Steve Conrad, William R. Shockley, and Cynthia L. Swafford
Authentic Western CD-ROM Conversions by Steve Conrad and William Shockley	Authentic Western CD-ROM Conversions by Steve Conrad and William Shockley
Authentic Western Audio Engineering by Dan Kehler, Rick Spurgeon, and Kelli Spurgeon	Authentic Western Audio Engineering by Dan Kehler, Rick Spurgeon, and Kelli Spurgeon
Authentic Western Voices by Cam Clarke as Freddy Pharkas Neil Ross as The Narrator Kath Soucie as Penelope Primm Lewis Arquette as Whittlin' Willy Michael Gough as Kenny the Kid	Authentic Western Voices by Cam Clarke as Freddy Pharkas Neil Ross as The Narrator Kath Soucie as Penelope Primm Lewis Arquette as Whittlin' Willy Michael Gough as Kenny the Kid
Authentic Western Voices by Jan Rabson as Sam Andreas Richard Paul as Chester Field Susan Silo as Helen Back Nicolas Guest as Srini Lewis Arquette as P. H. Balance	Authentic Western Voices by Jan Rabson as Sam Andreas Richard Paul as Chester Field Susan Silo as Helen Back Nicolas Guest as Srini Lewis Arquette as P. H. Balance
Authentic Western Voices by Jan Rabson as Wheaton "Aces" Hall Michael Gough as Salvatore O'Hannahan Susan Silo as Madame Ovaree Nicolas Guest as Hop Singh	Authentic Western Voices by Jan Rabson as Wheaton "Aces" Hall Michael Gough as Salvatore O'Hannahan Susan Silo as Madame Ovaree Nicolas Guest as Hop Singh
Authentic Western Voices by Bill Bryant as Doc Gillespie Jocko Marcellino as Smithie Richard Paul as Sheriff "Chicken" Shift Jan Rabson as Diamond Jim Laffer	Authentic Western Voices by Bill Bryant as Doc Gillespie Jocko Marcellino as Smithie Richard Paul as Sheriff "Chicken" Shift Jan Rabson as Diamond Jim Laffer
Authentic Western Voice Direction by Al Lowe	Authentic Western Voice Direction by Al Lowe
Authentic Western Voiceovers Produced by Dan Kehler	Authentic Western Voiceovers Produced by Dan Kehler
Authentic Western Music & Sounds by Aubrey Hodges	Authentic Western Music & Sounds by Aubrey Hodges
and Authentic Western Quality Assurance by Mike W. Pickhinke	and Authentic Western Quality Assurance by Mike W. Pickhinke
Additional Animation and Mondo Thanks To: Jeff Crowe, Joan Delehanty, Maria Fruehe, Gloria Garland, Michael Hutchison, Tony Margioni, Jerry Moore, Cindy Walker, Chris "Smokehouse" Willis, and Deanna Yhalkee	Additional Animation and Mondo Thanks To: Jeff Crowe, Joan Delehanty, Maria Fruehe, Gloria Garland, Michael Hutchison, Tony Margioni, Jerry Moore, Cindy Walker, Chris "Smokehouse" Willis, and Deanna Yhalkee
Special Guest Programming by Doug Oldfield, Carlos Escobar, and Brian K. Hughes	Special Guest Programming by Doug Oldfield, Carlos Escobar, and Brian K. Hughes
Customer Service Liaisonin' by Larry Buchanan and Mike Weiner	Customer Service Liaisonin' by Larry Buchanan and Mike Weiner
Systems Programming by Vana Baker, Ed Critchlow, Dan Foy, J. Mark Hood, Brian K. Hughes, Ken Koch, Jack Magne, Terry McHenry, Martin Peters, Larry Scott, Christopher Smith, and Mark Wilden	Systems Programming by Vana Baker, Ed Critchlow, Dan Foy, J. Mark Hood, Brian K. Hughes, Ken Koch, Jack Magne, Terry McHenry, Martin Peters, Larry Scott, Christopher Smith, and Mark Wilden
Special Thanks To: Bob Ballew, Donovan Holmes, Jeff & Jon Martin, Rick Spurgeon, Nathan Gams, Alan Mandel, and the Freddy Pharkas Beta Testers	Special Thanks To: Bob Ballew, Donovan Holmes, Jeff & Jon Martin, Rick Spurgeon, Nathan Gams, Alan Mandel, and the Freddy Pharkas Beta Testers
If you're not enjoying FREDDY PHARKAS, FRONTIER PHARMACIST, you will no doubt also dislike Al Lowe's other groundbreaking comedy adventure games:	If you're not enjoying FREDDY PHARKAS, FRONTIER PHARMACIST, you will no doubt also dislike Al Lowe's other groundbreaking comedy adventure games:
|c0|Leisure Suit Larry in the Land of the Lounge Lizards,|c| |c1|Leisure Suit Larry 2: Leisure Suit Larry Goes Looking For Love (In Several Wrong Places),|c| |c2|Leisure Suit Larry 3: Passionate Patti in Pursuit of the Pulsating Pectorals,|c| |c0|Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,|c| and |c3|Leisure Suit Larry 6: Shape Up or Slip Out!|c|	|c0|Leisure Suit Larry in the Land of the Lounge Lizards,|c| |c1|Leisure Suit Larry 2: Leisure Suit Larry Goes Looking For Love (In Several Wrong Places),|c| |c2|Leisure Suit Larry 3: Passionate Patti in Pursuit of the Pulsating Pectorals,|c| |c0|Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,|c| and |c3|Leisure Suit Larry 6: Shape Up or Slip Out!|c|
These and all the other fine Sierra products (including the handy six-pack of FREDDY PHARKAS, FRONTIER PHARMACIST), are available from Sierra. See your Game Manual.	These and all the other fine Sierra products (including the handy six-pack of FREDDY PHARKAS, FRONTIER PHARMACIST), are available from Sierra. See your Game Manual.
Hints are available on our 24-hour Automated Hint Line. See your Game Manual.	Hints are available on our 24-hour Automated Hint Line. See your Game Manual.
Hint Books may be purchased from our Sales Department. See your Game Manual.	Hint Books may be purchased from our Sales Department. See your Game Manual.
Our Customer Support people can help you with your technical problems, disk replacements, etc. See your Game Manual.	Our Customer Support people can help you with your technical problems, disk replacements, etc. See your Game Manual.
This half-hour infomercial has been brought to you by Screw Loose Amusements, the Freddy Pharkas team. Now back to the game, already in progress.	This half-hour infomercial has been brought to you by Screw Loose Amusements, the Freddy Pharkas team. Now back to the game, already in progress.
You scrape the clay off and discard it, leaving you with a gleaming silver ear! Beautifully done! With an ear like this, you could (dare I say it) RULE THE WORLD! Nyah-ha-ha-ha!	You scrape the clay off and discard it, leaving you with a gleaming silver ear! Beautifully done! With an ear like this, you could (dare I say it) RULE THE WORLD! Nyah-ha-ha-ha!
Your "ear mold" (yuch!) is now filled with the melted silver from your award medallion. (Y'know, they're NOT going to send Srini another medallion!)	Your "ear mold" (yuch!) is now filled with the melted silver from your award medallion. (Y'know, they're NOT going to send Srini another medallion!)
Those two just don't go together.	Those two just don't go together.
You try tearing open a sack with your bare hands, but in the never-ending battle of Man vs. Burlap, you lose.	You try tearing open a sack with your bare hands, but in the never-ending battle of Man vs. Burlap, you lose.
You intended to order one sack of baking soda. Owing to an administrative error, you are now the proud possessor of one hundred forty-four sacks of baking soda... and the superhuman strength required to carry it around. How gross!	You intended to order one sack of baking soda. Owing to an administrative error, you are now the proud possessor of one hundred forty-four sacks of baking soda... and the superhuman strength required to carry it around. How gross!
With muscles bulging from years of grappling with childproof caps, you deftly wield the church key and wrench the tops from all the beer bottles.	With muscles bulging from years of grappling with childproof caps, you deftly wield the church key and wrench the tops from all the beer bottles.
Sorry, Mr. Anheuser only recently developed the bottle-cap. Mr. Busch hasn't begun to think about the twist-off tops yet!	Sorry, Mr. Anheuser only recently developed the bottle-cap. Mr. Busch hasn't begun to think about the twist-off tops yet!
This is your case of Loebrau, "The Beer that Gave St. Louis Blues." All 24 bottles are tightly stoppered with those newfangled metal bottle-caps.	This is your case of Loebrau, "The Beer that Gave St. Louis Blues." All 24 bottles are tightly stoppered with those newfangled metal bottle-caps.
You reach inside your old boots and find... the rotting remains of a pair of nasty old Odor Beaters!	You reach inside your old boots and find... the rotting remains of a pair of nasty old Odor Beaters!
Sigh. These passenger pigeon-skin boots bring back memories... of the days before Kenny the Kid gave you an ear job.	Sigh. These passenger pigeon-skin boots bring back memories... of the days before Kenny the Kid gave you an ear job.
What are you trying to do, open the bullets? Not a smart endeavor!	What are you trying to do, open the bullets? Not a smart endeavor!
Tons o' ammo! Hot lead! Hollow-points! Dum-dums!	Tons o' ammo! Hot lead! Hollow-points! Dum-dums!
You try to mold the wax with your bare hands, but the wax is just a bit too stiff to handle. (A feeling not wholly unfamiliar to you!)	You try to mold the wax with your bare hands, but the wax is just a bit too stiff to handle. (A feeling not wholly unfamiliar to you!)
With your newly-acquired whittlin' skills, you carve the candle wax into the shape of an ear, one that should theoretically attach snugly to the remains of your original ear. But now look at the gunk on Willy's knife!	With your newly-acquired whittlin' skills, you carve the candle wax into the shape of an ear, one that should theoretically attach snugly to the remains of your original ear. But now look at the gunk on Willy's knife!
I'll toss this knife over here where Willy might find it. He'll probably think he dropped it here!	I'll toss this knife over here where Willy might find it. He'll probably think he dropped it here!
Yeah. Sure.	Yeah. Sure.
This puddle of candle wax from the Church is suitable for chewing, but it tends to lose that "Churchy" flavor after only a couple of minutes!	This puddle of candle wax from the Church is suitable for chewing, but it tends to lose that "Churchy" flavor after only a couple of minutes!
You search for something inside the charcoal, but there's nothing to be found.	You search for something inside the charcoal, but there's nothing to be found.
You swiped this handful of charcoal from the blacksmith's forge. (Remember to wash your hands when you're finished playing the game!)	You swiped this handful of charcoal from the blacksmith's forge. (Remember to wash your hands when you're finished playing the game!)
The Church key is solid and heavy and refuses to bend.	The Church key is solid and heavy and refuses to bend.
Nobody will miss this key to the Church, since the Church is never locked anyway. But doesn't it have an unusual shape?	Nobody will miss this key to the Church, since the Church is never locked anyway. But doesn't it have an unusual shape?
You turn the claim check over, searching for a locker combination, but there's nothing written on the other side.	You turn the claim check over, searching for a locker combination, but there's nothing written on the other side.
It's a tattered, well-worn claim check, nearly brown with age.	It's a tattered, well-worn claim check, nearly brown with age.
You try to shape the clay, but you're no sculptor. (Maybe you should take up whittling instead!)	You try to shape the clay, but you're no sculptor. (Maybe you should take up whittling instead!)
Who would steal a handful of clay from a gravesite? If you only had some eye of newt and tongue of bat...	Who would steal a handful of clay from a gravesite? If you only had some eye of newt and tongue of bat...
You poke around in the gun cleaning kit, but you find nothing useful.	You poke around in the gun cleaning kit, but you find nothing useful.
Hey! Maybe a fella could use this for cleanin' guns?!	Hey! Maybe a fella could use this for cleanin' guns?!
Duh!	Duh!
Sheriff Shift's was so nice to "give" you his gun-cleaning kit. He may be a low-down, evil, corrupt, two-timin' no-good varmint, but he's got the cleanest pistol in town... or so says Madame Ovaree!	Sheriff Shift's was so nice to "give" you his gun-cleaning kit. He may be a low-down, evil, corrupt, two-timin' no-good varmint, but he's got the cleanest pistol in town... or so says Madame Ovaree!
You search through the clothes and see your pants, your jacket, your gun belt, and your hat. All are in apparently still in good condition!	You search through the clothes and see your pants, your jacket, your gun belt, and your hat. All are in apparently still in good condition!
These are your old ex-gunslinging clothes, including your "Good Guy Model" hat! (Mr. Pharkas's Wardrobe by Festus Lauren of Cheyenne.)	These are your old ex-gunslinging clothes, including your "Good Guy Model" hat! (Mr. Pharkas's Wardrobe by Festus Lauren of Cheyenne.)
Only a logger stirs his coffee with his thumb.	Only a logger stirs his coffee with his thumb.
Mmm, there's nothing like a steaming hot cuppa joe from Mom's Cafe, brewed from mountain-grown beans from the steep-sloped hills of Jamaica! Much better than those shoddy trench-grown coffee beans from the shallow-sloped ditches of Peoria!	Mmm, there's nothing like a steaming hot cuppa joe from Mom's Cafe, brewed from mountain-grown beans from the steep-sloped hills of Jamaica! Much better than those shoddy trench-grown coffee beans from the shallow-sloped ditches of Peoria!
You turn the prescription over, looking for a hint of some sort, but there's nothing to see on the other side.	You turn the prescription over, looking for a hint of some sort, but there's nothing to see on the other side.
You study Madame Ovaree's prescription, fully amended and corrected by Doc Gillespie: "Madame Ovaree, Estrosterane, 1 paper each morning after."	You study Madame Ovaree's prescription, fully amended and corrected by Doc Gillespie: "Madame Ovaree, Estrosterane, 1 paper each morning after."
"Madame Ovaree, Estrosterane, 1 paper each morning after."	"Madame Ovaree, Estrosterane, 1 paper each morning after."
You dip your finger into the deflatulizer and lick it off. Mmmm! Aminophyllic Citrate really hits the spot!	You dip your finger into the deflatulizer and lick it off. Mmmm! Aminophyllic Citrate really hits the spot!
Taa-daa, your latest invention: Equine Deflatulizer, an exclusive blend of secret ingredients guaranteed to neutralize noxious methane emissions from the lower gastro-intestinal tract of Equus caballus. In other words, it's Gastroentrological- Veterinarian-In-A-Drum!	Taa-daa, your latest invention: Equine Deflatulizer, an exclusive blend of secret ingredients guaranteed to neutralize noxious methane emissions from the lower gastro-intestinal tract of Equus caballus. In other words, it's Gastroentrological- Veterinarian-In-A-Drum!
You turn the key over carefully, but it reveals nothing new.	You turn the key over carefully, but it reveals nothing new.
This is the key to your safe deposit box, pried from the cold, rigid fingers of your dead pal Phil.	This is the key to your safe deposit box, pried from the cold, rigid fingers of your dead pal Phil.
You attempt to do that key-bending routine you used to know when you were a kid, but somehow you've lost your touch.	You attempt to do that key-bending routine you used to know when you were a kid, but somehow you've lost your touch.
This is the key to your roll-top desk.	This is the key to your roll-top desk.
The door key's got a nice heft to it!	The door key's got a nice heft to it!
Hey. This looks just like the key to the front door of my pharmacy!	Hey. This looks just like the key to the front door of my pharmacy!
You open the bottle and take a long, deep whiff. The cilia lining your nose curl up and fall out, your sinuses start to drain, your eyes begin to water, and your face turns red. Say, this stuff is REALLY effective!	You open the bottle and take a long, deep whiff. The cilia lining your nose curl up and fall out, your sinuses start to drain, your eyes begin to water, and your face turns red. Say, this stuff is REALLY effective!
Dad Gumm's Magic Elixir is "Positively guaranteed to cure myopia, melancholia, the vapors, congestion, consumption, malaria, piles, shingles, rickets, leprosy, bubonic plague, gout, bursitis, arthritis, and the galloping cruds. 190 proof." Obviously, "Truth in Advertising" is still years in the future!	Dad Gumm's Magic Elixir is "Positively guaranteed to cure myopia, melancholia, the vapors, congestion, consumption, malaria, piles, shingles, rickets, leprosy, bubonic plague, gout, bursitis, arthritis, and the galloping cruds. 190 proof." Obviously, "Truth in Advertising" is still years in the future!
You cleverly shove your finger into a bottle and get it stuck there. You manage to twist it out, but not before popping a half-dozen knuckles. Next stop, Arthritis City!	You cleverly shove your finger into a bottle and get it stuck there. You manage to twist it out, but not before popping a half-dozen knuckles. Next stop, Arthritis City!
Now that the snails have been eradicated, you're left with a lot of empty beer bottles. Unfortunately, the California Bottle Redemption Act won't be made into law for another 100 years. (After all, that bill was only introduced five years ago!)	Now that the snails have been eradicated, you're left with a lot of empty beer bottles. Unfortunately, the California Bottle Redemption Act won't be made into law for another 100 years. (After all, that bill was only introduced five years ago!)
You gingerly examine the clay "negative" mold.	You gingerly examine the clay "negative" mold.
(TO SELF) Pretty decent piece of craftsmanship, even if you do say so yourself!	(TO SELF) Pretty decent piece of craftsmanship, even if you do say so yourself!
It's an empty clay mold of an ear.	It's an empty clay mold of an ear.
Don't open it! You'll release its precious contents (and probably kill a few locals!).	Don't open it! You'll release its precious contents (and probably kill a few locals!).
It's a bagful of something which does NOT meet California Emissions Standards!	It's a bagful of something which does NOT meet California Emissions Standards!
You peek inside the bag. Nope, nothing in there yet!	You peek inside the bag. Nope, nothing in there yet!
Chester Field's sturdy brown paper bags are suitable for penny candy, two-penny nails, and half-pint containers of Danny's Sourmash-Flavored Yogurt (the kind with the whisky on the bottom!).	Chester Field's sturdy brown paper bags are suitable for penny candy, two-penny nails, and half-pint containers of Danny's Sourmash-Flavored Yogurt (the kind with the whisky on the bottom!).
You adjust the leather strap just so.	You adjust the leather strap just so.
Congratulations on making this homemade gas mask. Devilishly good work!	Congratulations on making this homemade gas mask. Devilishly good work!
You're unwilling to touch it any more than necessary.	You're unwilling to touch it any more than necessary.
How can we put this delicately? It's a fragrant, freshly-baked, road apple.	How can we put this delicately? It's a fragrant, freshly-baked, road apple.
You touch the ice pick to your finger. That thing's sharp! And MEAN!	You touch the ice pick to your finger. That thing's sharp! And MEAN!
You swiped the town ice pick from out back o' the saloon. (Now no one will be able to pick their teeth!)	You swiped the town ice pick from out back o' the saloon. (Now no one will be able to pick their teeth!)
You can't get it open! Damn these childproof tins!	You can't get it open! Damn these childproof tins!
You hope you got this prescription right! (After all, pharmacology is an art, not an exact science!)	You hope you got this prescription right! (After all, pharmacology is an art, not an exact science!)
Click here to change your cursor into a Hand, then click the Hand on one of the Inventory objects to do something to it.	Click here to change your cursor into a Hand, then click the Hand on one of the Inventory objects to do something to it.
Click here to change your cursor into a Question Mark, then pass the Question Mark over the other icons to learn how they work.	Click here to change your cursor into a Question Mark, then pass the Question Mark over the other icons to learn how they work.
Click here to change your cursor into the Look cursor, then click the Look cursor on the Inventory objects to examine them more closely.	Click here to change your cursor into the Look cursor, then click the Look cursor on the Inventory objects to examine them more closely.
Click here to close this Inventory window and return to the game.	Click here to close this Inventory window and return to the game.
Click here to see more Inventory objects.	Click here to see more Inventory objects.
To use an Inventory item, click here to change your cursor into an Arrow, then click the Arrow on the item you wish to use. The Arrow will change into that item. You may then click the item on other Inventory objects or on "OK" to use that item in the game.	To use an Inventory item, click here to change your cursor into an Arrow, then click the Arrow on the item you wish to use. The Arrow will change into that item. You may then click the item on other Inventory objects or on "OK" to use that item in the game.
You close the knife and open it again. Smooth. Silent. Deadly. (Stolen.)	You close the knife and open it again. Smooth. Silent. Deadly. (Stolen.)
These Confederate Army pen knife replicas are becoming quite popular among the more sophisticated whittlers.	These Confederate Army pen knife replicas are becoming quite popular among the more sophisticated whittlers.
You make sure the ladder's rungs are nice and tight. (A feeling not wholly unfamiliar to Doc Gillespie!)	You make sure the ladder's rungs are nice and tight. (A feeling not wholly unfamiliar to Doc Gillespie!)
What sort of cad would steal a ladder from the school playground? (Oh, you would!)	What sort of cad would steal a ladder from the school playground? (Oh, you would!)
You have no reason to untie your adroitly-constructed lasso!	You have no reason to untie your adroitly-constructed lasso!
I never met a lasso I didn't like!	I never met a lasso I didn't like!
