No, they're not interested in... WAIT A MINUTE! What in the hell are those girls doing?!	No, they're not interested in... WAIT A MINUTE! What in the hell are those girls doing?!
Wottsa matta you? I'm-a look like a tailor to you? Faith 'n Begorrah, if I've been-a tellin' ya once, I've been-a tellin' you over anna over, I'm-a Dentist, Barber, Shoeshine, an' a Cobbler. I ain't no tailor!	Wottsa matta you? I'm-a look like a tailor to you? Faith 'n Begorrah, if I've been-a tellin' ya once, I've been-a tellin' you over anna over, I'm-a Dentist, Barber, Shoeshine, an' a Cobbler. I ain't no tailor!
Sal, do you still have that pair of boots I dropped off for a shine? I know it's been about six years now, but I just remembered I left them here!	Sal, do you still have that pair of boots I dropped off for a shine? I know it's been about six years now, but I just remembered I left them here!
Hmmm. Let me see... what's the number on this claim check? Lemme look under the counter here... Yep! Still here. Have 'em ready for ya next Tuesday!	Hmmm. Let me see... what's the number on this claim check? Lemme look under the counter here... Yep! Still here. Have 'em ready for ya next Tuesday!
Never mind. I'll just take them as is.	Never mind. I'll just take them as is.
Hey, don't worry 'bout the storage charges, okay?	Hey, don't worry 'bout the storage charges, okay?
You keep 'em! I no gotta anymore beige-anna-turquoise shoe polish!	You keep 'em! I no gotta anymore beige-anna-turquoise shoe polish!
Atsa swell hankie you got there!	Atsa swell hankie you got there!
It's not a hanky, it's a neckerchief.	It's not a hanky, it's a neckerchief.
If you say so, Freddy! Looksa-like a hankie to me! But hey, I'm-a no cowboy! I'm-a justa simple country barber/dentist/bootblack!	If you say so, Freddy! Looksa-like a hankie to me! But hey, I'm-a no cowboy! I'm-a justa simple country barber/dentist/bootblack!
'Ey, dis is a letter from-a Philip Graves! So? Ain't none-a my beeswax!	'Ey, dis is a letter from-a Philip Graves! So? Ain't none-a my beeswax!
I don't needa da shovel. I'm-a not diggin' anything.	I don't needa da shovel. I'm-a not diggin' anything.
Woo boy, atsa' some stinkin' bagga sumpthin'!	Woo boy, atsa' some stinkin' bagga sumpthin'!
What, you wanna bag o' hair clippings? Sorry, 'at'd be violatin' the right to privacy o' me customers!	What, you wanna bag o' hair clippings? Sorry, 'at'd be violatin' the right to privacy o' me customers!
I understand.	I understand.
I wouldn't be wavin' that thing around if'n I were you, Freddy. It's notta gonna earn you no friends!	I wouldn't be wavin' that thing around if'n I were you, Freddy. It's notta gonna earn you no friends!
Hey! Like my silver-filled mold?	Hey! Like my silver-filled mold?
'Atsa-nize silver-filled mold, laddie. You musta be some-a hero!	'Atsa-nize silver-filled mold, laddie. You musta be some-a hero!
Not yet, but I'm workin' on it.	Not yet, but I'm workin' on it.
Hey! That's-a wax ear inna clay! Pretty impressive!	Hey! That's-a wax ear inna clay! Pretty impressive!
That mold, she's-a empty! What you gonna fill that with, Freddy?	That mold, she's-a empty! What you gonna fill that with, Freddy?
If I knew what to fill it with, would I be here now?	If I knew what to fill it with, would I be here now?
Haha! Atsa' good one. I'm-a smilin' now.	Haha! Atsa' good one. I'm-a smilin' now.
Nice-a sculpture! Wotta you call it?	Nice-a sculpture! Wotta you call it?
Um... I call it "Earwax Revisited."	Um... I call it "Earwax Revisited."
Hunh. Well, I dunno nothin' about art, but I know what I like, anna I like your big lumpa earwax, whatever she's-a called.	Hunh. Well, I dunno nothin' about art, but I know what I like, anna I like your big lumpa earwax, whatever she's-a called.
'Ay, I'm as healthy as-a da horse! Maybe two-a horses! I dinna need any medicinations!	'Ay, I'm as healthy as-a da horse! Maybe two-a horses! I dinna need any medicinations!
It's a shaving bowl and brush.	It's a shaving bowl and brush.
You thinkin' a growin' a beard?	You thinkin' a growin' a beard?
No, I just wanted to see what I can do with this.	No, I just wanted to see what I can do with this.
You can put it down, it's-a not yours.	You can put it down, it's-a not yours.
Although that comb storage jar is labeled "Disinfectant" you know for a fact that Louis Pasteur's recent research has proven that colored water will disinfect nothing!	Although that comb storage jar is labeled "Disinfectant" you know for a fact that Louis Pasteur's recent research has proven that colored water will disinfect nothing!
Hey, now, 'atsa my colorful comb water! Doan' be takin' it, I'll have-a to buy some-morea food coloring.	Hey, now, 'atsa my colorful comb water! Doan' be takin' it, I'll have-a to buy some-morea food coloring.
The label reads, "Dullcryme, A Big Dab'll Do Ya!"	The label reads, "Dullcryme, A Big Dab'll Do Ya!"
Please keepa you hands off! I've only gotta two dabs left inna there.	Please keepa you hands off! I've only gotta two dabs left inna there.
This bottle is labeled "22 per cent alcohol by weight."	This bottle is labeled "22 per cent alcohol by weight."
'Atsa my private stash of butterscotch schnapps. You wanna snort?	'Atsa my private stash of butterscotch schnapps. You wanna snort?
No thank you, Salvatore, I'm a sarsaparilla man m'self.	No thank you, Salvatore, I'm a sarsaparilla man m'self.
You are certainly happy it's not winter now. When Sal cranks up the heat in this baby, you can smell the memories of hundreds of miners, many of whom are now long dead... or at least smell that way!	You are certainly happy it's not winter now. When Sal cranks up the heat in this baby, you can smell the memories of hundreds of miners, many of whom are now long dead... or at least smell that way!
It's cold. Funny how rarely Salvatore cranks up the heat in this 110-degree weather.	It's cold. Funny how rarely Salvatore cranks up the heat in this 110-degree weather.
Back in the old days, when Coarsegold was a bustling Gold Rush city packed with men returning from panning the mountain streams or heading for mountain claims, Sal often filled that bench with hirsute miners.	Back in the old days, when Coarsegold was a bustling Gold Rush city packed with men returning from panning the mountain streams or heading for mountain claims, Sal often filled that bench with hirsute miners.
Hey now, that's for the comfort of Salvatore's clients.	Hey now, that's for the comfort of Salvatore's clients.
Sal didn't really want a buffalo head mounted on his wall, but when it ran through the back of the building, he decided to just leave it.	Sal didn't really want a buffalo head mounted on his wall, but when it ran through the back of the building, he decided to just leave it.
Hello, you majestic creature of the North American Plains!	Hello, you majestic creature of the North American Plains!
Flattery will get you nowhere with that beast.	Flattery will get you nowhere with that beast.
Nice buffalo! Nice buffalo!	Nice buffalo! Nice buffalo!
(Did he say "buffalo" or "Buff Al Lowe?")	(Did he say "buffalo" or "Buff Al Lowe?")
Once this lamp burned whale oil, but you know how hard it is to find whales around here?	Once this lamp burned whale oil, but you know how hard it is to find whales around here?
This thing wouldn't work if you pumped 50,000 volts into it. Kinda like the Banker, the Sheriff, and most of the other folks in town!	This thing wouldn't work if you pumped 50,000 volts into it. Kinda like the Banker, the Sheriff, and most of the other folks in town!
You're glad this pitcher is only used for storing water for hand washing. If you are thirsty, you'd be better off drinking from the horse troughs outside than trusting your life to this mess.	You're glad this pitcher is only used for storing water for hand washing. If you are thirsty, you'd be better off drinking from the horse troughs outside than trusting your life to this mess.
You tryin' to take-a my pitcher? No tenk-a-you, I'm-a camera shy!	You tryin' to take-a my pitcher? No tenk-a-you, I'm-a camera shy!
This is Salvatore's adjustable barber chair. Somebody ripped off the hand restraints during a tooth extraction.	This is Salvatore's adjustable barber chair. Somebody ripped off the hand restraints during a tooth extraction.
You're not here for a trim.	You're not here for a trim.
Upon close inspection, you realize Sal's counter is filled with little, teeny-tiny hairs... as is everything else in this place, including Sal!	Upon close inspection, you realize Sal's counter is filled with little, teeny-tiny hairs... as is everything else in this place, including Sal!
You wanna some teeny-tiny little hairs? Sure, help-a-youself!	You wanna some teeny-tiny little hairs? Sure, help-a-youself!
You actually decide you have no use for teeny-tiny hairs.	You actually decide you have no use for teeny-tiny hairs.
You see nothing in Sal's barbershop that you would consider useful.	You see nothing in Sal's barbershop that you would consider useful.
There's nothing on the shelf worth steal... er, borrowing.	There's nothing on the shelf worth steal... er, borrowing.
This combination barbershop and dental emporium is under the exclusive proprietorship of Salvatore O'Hanahan, Coarsegold's only Italian/Irish barber.	This combination barbershop and dental emporium is under the exclusive proprietorship of Salvatore O'Hanahan, Coarsegold's only Italian/Irish barber.
The words just aren't flowing freely, so you decide to shut up.	The words just aren't flowing freely, so you decide to shut up.
Please quit pokin' anna proddin' everything. You make-a me nervous.	Please quit pokin' anna proddin' everything. You make-a me nervous.
Sal has a back door in case angry customers queue up out front to file lead complaints about their haircuts!	Sal has a back door in case angry customers queue up out front to file lead complaints about their haircuts!
This barbershop and dental emporium is under the exclusive proprietorship of Salvatore O'Hanahan, Coarsegold's only Italian/Irish barber.	This barbershop and dental emporium is under the exclusive proprietorship of Salvatore O'Hanahan, Coarsegold's only Italian/Irish barber.
Doan you smudge-a my window!	Doan you smudge-a my window!
This cabinet contains boring tonsorial equipment.	This cabinet contains boring tonsorial equipment.
'ey, leave-a my boring tonsorial equipment alone!	'ey, leave-a my boring tonsorial equipment alone!
You wouldn't care to give this place a "white glove" inspection... unless you wanted black gloves!	You wouldn't care to give this place a "white glove" inspection... unless you wanted black gloves!
You poke through the bottles to see what's what. Hmmm... preshave, aftershave, duringshave, notgonnashave, nevershave, wannashave and tooyoungtoshave. Remember what Al Lowe says: "shave early, shave often!"	You poke through the bottles to see what's what. Hmmm... preshave, aftershave, duringshave, notgonnashave, nevershave, wannashave and tooyoungtoshave. Remember what Al Lowe says: "shave early, shave often!"
Sal used to keep this shelf filled with toiletries... until he found out there were no toilets in town!	Sal used to keep this shelf filled with toiletries... until he found out there were no toilets in town!
There's nothing there except a few tonics 'n stuff that you sold Salvatore.	There's nothing there except a few tonics 'n stuff that you sold Salvatore.
You catch a quick peek of yourself in the mirror and hope that no one noticed.	You catch a quick peek of yourself in the mirror and hope that no one noticed.
That's quite a mirror, Sal!	That's quite a mirror, Sal!
That'sa right. There ain' ah nobody believes justa how mucha costs to ship around de Isthmus!	That'sa right. There ain' ah nobody believes justa how mucha costs to ship around de Isthmus!
Salvatore O'Hanahan has spared no expense installing a large expensive mirror for the convenience of his customers.	Salvatore O'Hanahan has spared no expense installing a large expensive mirror for the convenience of his customers.
Those old boots look vaguely familiar.	Those old boots look vaguely familiar.
Better not, they might belong to somebody.	Better not, they might belong to somebody.
Those are the naughty French postcards you gave to Salvatore!	Those are the naughty French postcards you gave to Salvatore!
Hey, no Indian giving!	Hey, no Indian giving!
That canister is labelled NO2.	That canister is labelled NO2.
But it hasn't been offered to you! What is this attitude where you're trying to take everything that isn't nailed down? You can't get away with that, you know... especially not in the Old West.	But it hasn't been offered to you! What is this attitude where you're trying to take everything that isn't nailed down? You can't get away with that, you know... especially not in the Old West.
It's Salvatore O'Hanahan, looking very odd. That's it, he looks BACKWARDS. His part is on the wrong side and his facial features are reversed. You hope this "mirror" thing hasn't captured Salvatore's soul or anything.	It's Salvatore O'Hanahan, looking very odd. That's it, he looks BACKWARDS. His part is on the wrong side and his facial features are reversed. You hope this "mirror" thing hasn't captured Salvatore's soul or anything.
Hey, Salvatore's reflection, how goes it?	Hey, Salvatore's reflection, how goes it?
?ot gniklat uoy er'ohw ,yeH	?ot gniklat uoy er'ohw ,yeH
You! I mean... no, never mind.	You! I mean... no, never mind.
It's only an image on glass. You can't take it, touch it, or even show it tender loving care.	It's only an image on glass. You can't take it, touch it, or even show it tender loving care.
Fletcher Castoria, the town plumber, sits here patiently, waiting for his turn in the chair. He's got nothing else to do, since nobody in Coarsegold has plumbing!	Fletcher Castoria, the town plumber, sits here patiently, waiting for his turn in the chair. He's got nothing else to do, since nobody in Coarsegold has plumbing!
Hey, Fletcher, how's the plumbing business?	Hey, Fletcher, how's the plumbing business?
He doesn't respond. Apparently he's too engrossed in reading the latest copy of the Skoocherdownan Examiner!	He doesn't respond. Apparently he's too engrossed in reading the latest copy of the Skoocherdownan Examiner!
Please don't poke the plumber!	Please don't poke the plumber!
It's Whittlin' Willy. He's been here ever since you got to Coarsegold, and he hasn't aged a day. He's always been about 140 years old. He spins a mean yarn, and somehow he always seems to know what people did even when he wasn't in the room.	It's Whittlin' Willy. He's been here ever since you got to Coarsegold, and he hasn't aged a day. He's always been about 140 years old. He spins a mean yarn, and somehow he always seems to know what people did even when he wasn't in the room.
It's m'secret powers, kid. I got X-ray vision and super hearing. 'Kay? Now scram.	It's m'secret powers, kid. I got X-ray vision and super hearing. 'Kay? Now scram.
Hiya, Whittlin' Willy! How's the Whittlin' going?	Hiya, Whittlin' Willy! How's the Whittlin' going?
Hiya, sonny! Just splendidly, thanks! I'm workin' on a ol' dead beached whale. 'Sgonna be m'best work to date.	Hiya, sonny! Just splendidly, thanks! I'm workin' on a ol' dead beached whale. 'Sgonna be m'best work to date.
Will it be for sale?	Will it be for sale?
Will it be for sale? NO, it AIN'T gonna be fer sale! I'm an ARTISTE, dag nab it! 'Sides, iffn I hang onter it fer awhilst, mebbe it'll be worth sumpthin' someday. Now scram.	Will it be for sale? NO, it AIN'T gonna be fer sale! I'm an ARTISTE, dag nab it! 'Sides, iffn I hang onter it fer awhilst, mebbe it'll be worth sumpthin' someday. Now scram.
Hey there, Willy!	Hey there, Willy!
That's WHITTLIN' Willy to you, son. Respeck yer olders.	That's WHITTLIN' Willy to you, son. Respeck yer olders.
Sorry.	Sorry.
Fergit about it. Jus' get outta here, I'm whittlin'.	Fergit about it. Jus' get outta here, I'm whittlin'.
Whittlin' Willy!	Whittlin' Willy!
Thunderation, boy! Ain't you got nothin' better ta do than interrupt me when I'm whittlin'?	Thunderation, boy! Ain't you got nothin' better ta do than interrupt me when I'm whittlin'?
Geez, sorry! It's just that you're a colorful old character, and I enjoy hearing tall tales and Western folklore from your oral traditions.	Geez, sorry! It's just that you're a colorful old character, and I enjoy hearing tall tales and Western folklore from your oral traditions.
Yew jus' keep my oral traditions outta this, son. Don't you gotta pharmacy to run? Ain't you got customers to wait on?	Yew jus' keep my oral traditions outta this, son. Don't you gotta pharmacy to run? Ain't you got customers to wait on?
I guess so...	I guess so...
Then git along! Move 'em on! Head 'em up! Cut 'em out! Tie 'em in! Ride 'em in! Turn 'em in! Cut 'em out!	Then git along! Move 'em on! Head 'em up! Cut 'em out! Tie 'em in! Ride 'em in! Turn 'em in! Cut 'em out!
Okay, okay.	Okay, okay.
Willy, you know what's going on out there?	Willy, you know what's going on out there?
How could I MISS it, son? Whillikers, you step out there and it's like bein' smacked with a sack o'... welp, guess I don't hafta tell YOU, I smelt you comin' in!	How could I MISS it, son? Whillikers, you step out there and it's like bein' smacked with a sack o'... welp, guess I don't hafta tell YOU, I smelt you comin' in!
We gotta do something about it!	We gotta do something about it!
I'm doin' my part, sonny. I'm whittlin' m'will.	I'm doin' my part, sonny. I'm whittlin' m'will.
That's not good enough!	That's not good enough!
Hey, yer the pharmacist 'round here. We ain't got no veteran aryan. Them horses're obviously havin' some sorta lower gastro-intestinal discomforture, so diagnose 'em, dammit, and give 'em sumpthin' to make 'em better! Now leave me be.	Hey, yer the pharmacist 'round here. We ain't got no veteran aryan. Them horses're obviously havin' some sorta lower gastro-intestinal discomforture, so diagnose 'em, dammit, and give 'em sumpthin' to make 'em better! Now leave me be.
Willy, you heard about the snail stampede?	Willy, you heard about the snail stampede?
Yepper.	Yepper.
Ever hear of anything like this happening?	Ever hear of anything like this happening?
Nope, never.	Nope, never.
Well, what am I supposed to do about it?	Well, what am I supposed to do about it?
Hey, boy, I'm jus' an ol' whittler, settin' around watching events unfold and commentin' with m'folksy, old-timey attitude... y'know, kinda cranky, but with a sense of humor, too.	Hey, boy, I'm jus' an ol' whittler, settin' around watching events unfold and commentin' with m'folksy, old-timey attitude... y'know, kinda cranky, but with a sense of humor, too.
Can't you give me some advice?	Can't you give me some advice?
Welp, that ain't m' speciality, but I'll tell ya this: them snails ain't much different from your ordinary garden slugs. They prob'ly likes the same things. So jes' keep that in mind when dealin' with 'em.	Welp, that ain't m' speciality, but I'll tell ya this: them snails ain't much different from your ordinary garden slugs. They prob'ly likes the same things. So jes' keep that in mind when dealin' with 'em.
Yer welcome. Now get outta here, 'n go git some beer.	Yer welcome. Now get outta here, 'n go git some beer.
Well, I got rid of those snails! Aren't you proud of me?	Well, I got rid of those snails! Aren't you proud of me?
Yeah, yeah. Only it's gonna get a lot worse, I'm tellin' ya!	Yeah, yeah. Only it's gonna get a lot worse, I'm tellin' ya!
How do you know?	How do you know?
Who's tellin' this story, you or me?	Who's tellin' this story, you or me?
Well, you, I guess...	Well, you, I guess...
Then I guess I know whut I'm talkin' about, don't I? Now git on out to the desert and git that guy offa the anthill 'afore I pick you up and carry you there!	Then I guess I know whut I'm talkin' about, don't I? Now git on out to the desert and git that guy offa the anthill 'afore I pick you up and carry you there!
Alright, alright!	Alright, alright!
Willy, I got myself an assistant down at the Pharmacy.	Willy, I got myself an assistant down at the Pharmacy.
What'n the sam hill you need an assistant fer, kid? The Sheriff done closed your butt down!	What'n the sam hill you need an assistant fer, kid? The Sheriff done closed your butt down!
Well, I've been so busy helping people and stuff, and I was hoping to reopen the store soon, so I thought...	Well, I've been so busy helping people and stuff, and I was hoping to reopen the store soon, so I thought...
You thought, eh? Well, THAT'S a first! Anyhows, that assistant might come in handy eventually. But fer the time being, head on out to the outhouse and figger out whut's goin' ON out there! Seems like half the town's got the big-time runs!	You thought, eh? Well, THAT'S a first! Anyhows, that assistant might come in handy eventually. But fer the time being, head on out to the outhouse and figger out whut's goin' ON out there! Seems like half the town's got the big-time runs!
The what?	The what?
I sez, |c2|GIT|c|!!	I sez, |c2|GIT|c|!!
Hey, Willy!	Hey, Willy!
Leave me alone, I'm crabby.	Leave me alone, I'm crabby.
So what else is new? Listen, I'm gonna be leaving town for a while.	So what else is new? Listen, I'm gonna be leaving town for a while.
Yeah, right.	Yeah, right.
No, I am!	No, I am!
Yew are not. Yer gonna practice yer gunslingin', then yer gonna dredge up that mucky ol' past of yours and go back to bein' a bigshot hero.	Yew are not. Yer gonna practice yer gunslingin', then yer gonna dredge up that mucky ol' past of yours and go back to bein' a bigshot hero.
Hey, half the Western Heros in America done the same thang. Good luck to ya. See ya in the dime novels. Now get a move on.	Hey, half the Western Heros in America done the same thang. Good luck to ya. See ya in the dime novels. Now get a move on.
Hiya, Whittlin' Willy!	Hiya, Whittlin' Willy!
How'd the gunslingin' go?	How'd the gunslingin' go?
Great! I'm getting ready to leave town now.	Great! I'm getting ready to leave town now.
Drop the "leavin' town" bit, sonny. I know whut you're up to. This is my story, 'member?	Drop the "leavin' town" bit, sonny. I know whut you're up to. This is my story, 'member?
Oh, yeah.	Oh, yeah.
Now finish puttin' that disguise together and git to it, so's we kin git this town cleaned up once 'n fer all!	Now finish puttin' that disguise together and git to it, so's we kin git this town cleaned up once 'n fer all!
Hey, you don't have to tell me twice!	Hey, you don't have to tell me twice!
Don't be jostlin' my arm, son. You'll mess up my whittlin'!	Don't be jostlin' my arm, son. You'll mess up my whittlin'!
Sorry, son, that stuff's too strong fer me! But y'know, some moonshine'd go down real good right now!	Sorry, son, that stuff's too strong fer me! But y'know, some moonshine'd go down real good right now!
It's empty!	It's empty!
Yeah.	Yeah.
